incident_id,customer_id,incident_type,incident_date,status
f6d25c91-eaa7-469b-8d72-21a2e3d50469,64901ac7-9e18-4263-9d3f-5b91a3f8b01f,Account Breach,2025-03-09 02:14:55,Pending
9407e627-4ef9-42e9-9925-dfb2aa801fdb,24835bf5-f00d-4e13-83be-7e1d4d25627d,Unauthorized Transaction,2025-03-03 07:01:14,Investigating
d603dca3-a37c-4439-b56a-5f4f536ca665,1e6abcb4-4119-4491-8776-828d374af9d6,Account Breach,2025-02-26 01:22:49,Investigating
b06f9ab9-5d79-4ecc-a76c-4f8c495ce960,08eb363e-5719-44fb-b449-ae6fdc7e0ab5,Unauthorized Transaction,2025-02-20 05:40:36,Resolved
6dd07902-61a1-427b-a018-b5c1771b3859,5adc9d4b-f7fe-4cd0-9b44-58789c68abdc,Account Breach,2025-02-27 20:31:37,Resolved
584a2e4c-4614-454f-8c3a-cb023529e342,ba5aa702-ffb3-47e2-a8df-7d882adc4bdc,Account Breach,2025-03-04 18:54:16,Resolved
0e834a04-dabe-47ca-9348-e9746faed9b4,5f61c105-a9d5-4687-9c0f-713eb909e4d3,Account Breach,2025-01-02 05:17:26,Pending
31265b69-e772-4c17-9210-79a3f836f0ed,d1e128fd-06bb-4cb6-bebe-25000d804987,Phishing,2025-02-07 14:45:28,Resolved
448c8fec-c8fe-4909-a79d-a3b2637c450c,b20a7db3-9916-47c7-b2c8-9e5fcc60b5d9,Unauthorized Transaction,2025-02-04 08:16:00,Resolved
e20c8ab6-7dfc-43ee-883e-392805b63fd5,d2af3ea3-07f6-40f1-9613-5fbdb6a15319,Phishing,2025-03-12 22:05:26,Resolved
7df3984f-b24f-4e88-a162-c563d76c9e5b,4cddd792-a653-4c17-8662-6ffe8c42cb2c,Account Breach,2025-03-08 21:24:10,Pending
5d9a936a-00e1-42c9-a6f7-35fa4caa3987,8929f647-f82a-4533-a208-8b0b11c62346,Account Breach,2025-01-27 06:32:24,Investigating
db41800e-7c53-412d-8357-aa0df8d058b7,1da77000-caf2-4af0-ae8c-6bf0f233e651,Unauthorized Transaction,2025-02-24 19:06:46,Resolved
b001f73b-61c8-4cac-b08e-c656bd919886,63a9f5fa-683d-45e2-9679-ec613788ad42,Unauthorized Transaction,2025-02-03 23:37:03,Investigating
9f453a5a-a526-4a7a-877e-ea98fff6b107,88386faf-9fa4-40af-9c8c-a0fe48765cdf,Phishing,2025-03-19 06:41:13,Resolved
3b23e767-1cee-4be1-bbae-a228f4a614db,088a4542-4052-4bea-bc08-16dcd66e3143,Phishing,2025-02-14 23:27:04,Pending
d783e450-64d0-44e0-83d3-53232b11b8c5,16cdc378-5d31-4b6f-8f72-8ec5fdeb89a5,Phishing,2025-03-14 07:51:47,Investigating
0a55858a-3f9b-4cd9-be43-0d4eec1dc9a2,a09306df-9d3a-483c-ab66-6abfccf104ed,Account Breach,2025-01-14 02:02:55,Investigating
4a12f37e-787b-48fe-a6fe-1e4c966e0e17,d2243bd6-add6-4b05-ae58-0a640106f224,Unauthorized Transaction,2025-03-05 16:12:43,Investigating
eb86ae62-7e1a-4884-afa3-4f94d15be9a8,4b916519-f7fa-4521-b46b-73e054df6e63,Account Breach,2025-02-04 15:29:54,Resolved
3ade57a5-8a8c-48b6-a8ec-334c7aa11c11,075cdee2-93d6-4cac-a36f-069a79d5b817,Account Breach,2025-03-11 21:03:23,Investigating
b4a7602e-7a39-40a5-8af1-90b1091675f9,f67c6caa-2886-429b-8210-2a393a20ab4f,Account Breach,2025-01-18 09:44:23,Resolved
