account_id,customer_id,account_type,account_balance,currency,created_at
681e6696-3186-4077-a2fa-b3548d48da90,81846f3c-eb3b-40fe-9eff-7be17c9d8d99,Checking,24311.7,USD,2025-03-21 13:25:58
f232d389-0b75-47f5-b0d1-3e3c152f2647,09848ebb-f951-4e51-acfd-e0dee8033222,Checking,18767.97,USD,2025-03-21 13:25:58
67f71991-011c-4d00-968c-1c114817a7d2,cf90b636-549e-4523-baac-9efb4e82200a,Savings,78496.97,USD,2025-03-21 13:25:58
7875a5cf-9db1-419b-a24a-42a88a4bcd58,5e831c7b-b4a9-45f8-8440-1e442f92ae8e,Business,90781.93,USD,2025-03-21 13:25:58
16e82811-6a06-4daa-a14a-6c8441b26047,ed20a811-edfd-444f-a4ad-5cd60d0bf61e,Checking,70443.74,USD,2025-03-21 13:25:58
3189718b-bac8-4f82-8a3d-e0f7005bedc0,55a97125-6082-43eb-8e69-b0eb8c686bfa,Checking,39962.24,USD,2025-03-21 13:25:58
5ab16066-83cb-48c2-b839-fa543aec5866,16324b8f-9db6-434f-818c-78b33de93ff0,Savings,61651.3,USD,2025-03-21 13:25:58
d6203d25-4210-49e9-bb8b-f3fc39ccb2dc,f47453ef-1bf8-4f91-9841-43521c50fa84,Savings,6635.93,USD,2025-03-21 13:25:58
bb26ea16-8166-439d-bc6f-1fce088a4be3,dfc555c7-78f7-44db-8530-bbe25cd0c8fc,Savings,63675.45,USD,2025-03-21 13:25:58
539ed0e4-9125-4458-accc-1aeb7a95fa60,af3fa316-b08f-4731-a463-9ba31a6f6a73,Savings,62182.63,USD,2025-03-21 13:25:58
eadc8f60-bc8c-4b9c-ac65-982d42edeebc,c1434c68-cae5-4efc-a06b-779bb3e0b8a1,Checking,92388.6,USD,2025-03-21 13:25:58
3421ebb3-87bd-41af-bc43-4d520081d821,1c1439f2-06ac-4e5f-9d9c-b87dbb2a40bb,Savings,67490.98,USD,2025-03-21 13:25:58
949bd7c1-b80f-4b28-a8bf-d1e18639cbae,3daab0ba-3710-4dbd-9479-0444d1706973,Savings,94448.21,USD,2025-03-21 13:25:58
